wavelength_nm,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80
349.501,-0.0536378,0.154412,-0.0320142,-0.225827,0.0538956,-0.0804567,0.157082,-0.0125301,0.0603028,-0.142309,-0.0732927,-0.305735,-0.10581,0.380634,0.0347426,0.118349,0.0651316,0.0774529,0.0280859
350.001,0.14074,-0.554188,-0.0642959,0.040185,0.622788,-0.521424,0.529928,-0.505767,0.0290863,-0.304796,-0.824511,-0.160415,0.458567,-0.301189,0.183015,0.0449953,0.0243351,0.226226,-0.236509
350.501,0.121579,0.0802703,0.032665,-0.032854,-0.0193575,0.053247,0.0984375,-0.12375,-0.0440891,0.0341379,0.00853448,0.00958065,0.0882558,0.118484,0.0780405,-0.00681193,0.00821577,0.150268,-0.113071
351.001,0.179451,0.0123968,-0.0964942,0.273387,0.164076,0.261788,-0.120154,-0.0561366,0.0188306,-0.196891,0.0619841,-0.453642,0.0548712,0.196518,-0.0591107,-0.121803,0.045726,0.101974,-0.138822
351.5,0.369965,-0.213718,0.488704,0.675373,1.40342,-0.659729,0.487551,1.19551,0.68884,-0.0422108,0.173103,0.209647,-0.648908,0.285882,-0.0967602,0.230967,0,0.663169,0.152868
352,-0.579857,-0.346104,0.452657,0.128282,0.142312,-0.0508827,0.137405,-0.337333,0.407821,0.345476,0.235552,1.0971,-0.298179,0.292318,-0.363,-0.0424813,0.769921,-0.2024,0.0157034
352.5,0.294959,0.101296,0.187464,0.421794,0.257053,0.349204,-0.0126419,0.205961,0.129695,0.258489,0.106085,0.179585,0.149947,0.169838,0.0526644,0.299895,0.243327,0.103976,0.426707
352.999,-0.0397819,0.101278,0.17498,0.0680479,0.0886567,0.115871,0.0977318,0.116693,0.0320149,0.108604,0.0272192,0.190757,0.177313,0.176169,0.0183881,0.028209,0.0995297,-0.0576269,0.0450433
353.499,-0.00808191,0.119941,0.0883531,0.204287,-0.243826,0.057565,0.099292,-0.196929,-0.477437,0.139009,-0.400987,-0.681678,0.0176706,-0.400406,0.21785,0,0.0849499,0.154015,-0.267815
353.998,0.14994,-0.150128,0.301171,0.438118,1.00658,-0.364181,0.745608,-0.0334937,0.404484,0.671458,0.327194,-0.14994,0.168,0.0593654,0.109722,0.201078,0.2646,0.320727,0.475404
354.497,1.05084,-0.100375,0.846467,-0.474892,-0.107067,-0.0779612,0.210761,0.996423,0.714886,0.299971,0.527222,1.01279,0.523696,0.193961,0.161678,-0.0581884,0.820269,0.205897,0.546259
354.996,-0.226502,0.339967,0,0.0781471,-0.286288,0.0678296,0,0.0574727,-0.231016,-0.146858,-0.0373307,-0.321335,-0.156809,-0.313712,0.0800766,0.389172,0.614483,0.362865,0.0641493
355.495,0.164374,-0.219964,-0.152883,0.08933,0.0810862,0.00654416,0.441014,-0.114968,-0.0387567,-0.0180426,0.0479032,-0.249038,-0.0827957,0.140561,-0.0532258,0.204465,-0.0105051,0.196325,0.112816
355.994,0.125689,0.0117586,0.32242,-0.10841,0.172416,0.0408733,0.0483376,0.0992637,0.146442,0.130829,-0.0334314,0.124323,0.292286,0.356108,-0.0266406,0.288983,0.213125,0.151014,0.0659392
356.492,0.0130014,0.00518834,0.0130977,0.00373982,-0.128129,0.0830914,0.0100924,0.0877076,-0.0959743,-0.0707274,0.0377818,-0.0608615,-0.020067,-0.0352356,-0.189033,0.0805185,-0.0824329,-0.181752,-0.0764546
356.991,0.640705,0.414337,0.341603,0.326689,0.412122,0.23127,0.0290887,0.0675094,0.100749,0.0919617,0.258261,0.604375,-0.103584,0.454117,0.189905,0.299465,0.281878,0.168109,0.522167
357.489,-0.234314,0.628997,-0.0147656,-0.875983,-0.0941576,0.649687,0.201008,0.195395,0.781579,0.435629,-0.0738281,-0.231736,-0.416466,0.0114989,-0.155614,0.24255,0.957434,-0.510469,-0.023625
357.988,0.0691727,-0.23928,0.216626,-0.178333,-0.147125,0.120966,0,0.0161676,0.0892378,-0.120853,0.127381,-0.364505,-0.181188,0.133623,-0.210179,0.0705115,-0.0138961,-0.124751,-0.128442
358.486,0.131353,0.240587,0.379985,-0.135425,0.203564,0.294562,0.152271,0.145526,0.0537715,0.124878,0,0.327094,0.209854,0.37729,0.183221,0.489176,0.101329,-0.331269,0.350511
358.984,-0.0144892,-0.00245536,-0.017673,-0.01225,-0.0162811,-0.00430592,-0.0106222,-0.0159585,-0.0232863,-0.00112969,-0.0123346,-0.0214975,-0.0116257,-0.0207205,-0.0126042,-0.00278986,-0.0167878,-0.00691298,-0.0157698
359.482,-0.0306842,0.0243669,0.08063,0.195377,0.170955,0.0439342,0.206023,-0.0117514,0.191963,0.0609919,0.00456459,0.301986,0.0340469,0.167792,0.0320699,0.0233784,0.0890832,-0.0652341,0.0774274
359.98,0.167808,0.0287946,-0.00407338,-0.0190867,0.0883644,-0.0344743,-0.368249,-0.217111,-0.158219,-0.0843478,0.0437577,0.18454,0.0932761,-0.218702,0.253495,-0.158553,-0.121373,-0.140147,-0.0356856
360.478,0.0628073,-0.0235527,-0.193918,0.0663077,0.127734,0.0711141,-0.0547649,-0.0373967,-0.107364,-0.0164395,0.0114106,-0.180109,-0.00497863,0.056034,-0.142887,0.016115,0.0572979,0.23134,-0.0933493
360.975,0.324272,0.148252,0.324883,-0.0944241,-0.335829,0.116689,-0.101418,0.0396855,-0.0556,0.0630529,-0.34444,-0.201064,-0.1379,-0.468161,0.0293389,0.233757,0.246617,0.0855718,0.263298
361.473,-0.437273,0.665388,0.699886,1.49278,0.165647,0.0139569,0.260106,0.284362,-0.354691,0.321009,-0.194344,-0.429176,0.31451,-0.282628,-0.0512448,0.483343,0.749354,-0.471765,0.293453
361.97,0.378591,0.497883,0.233341,0.880991,1.02083,0.559257,0.470039,0.351957,0.427558,0.886984,0.609391,0.673991,0.160575,0.268889,0.905463,1.2799,0.801981,0.428478,1.01343
362.468,-0.556372,-0.786595,0.640513,-1.23924,-1.53627,-0.418982,1.32957,-1.45704,-1.98704,-0.43644,1.06474,-0.867985,0.514539,-0.543125,-0.0444375,0.0678906,0.605966,0.133921,0.198167
