0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0.059827094,0.059804971,0.059738595,0.059627945,0.059472987,0.059273674,0.059029946,0.058741732,0.05840895,0.058031511,0.057609315,0.05714226,0.056630238,0.05607314,0.05547086,0.054823296,0.054130354,0.053391952,0.052608027,0.051778535,0.050903461,0.049982823,0.04901668,0.048005141,0.046948371,0.045846603,0.044700148,0.043509408,0.04227489,0.040997219,0.039677159,0.038315627,0.03691372,0.035472731,0.033994186,0.032479862,0.030931828,0.02935248,0.027744578,0.026111299,0.024456282,0.022783688,0.021098263,0.019405414,0.017711282,0.016022838,0.014347983,0.012695658,0.011075974,0.009500356,0.007981698,0.006534548,0.00517531,0.003922472,0.002796862,0.001821942,0.001024136,0.0004332,8.26E-05,1.02E-05,0.000258403,0.00087513,0.001914374,0.003437006,0.005511691,0.00821593,0.011637252,0.015874581,0.021039806,0.027259594,0.034677474,0.043456257,0.053780829,0.06586141,0.079937336,0.096281488,0.115205469,0.13706569,0.162270538,0.191288849,0.224659947
0.061168283,0.061145795,0.061078323,0.060965848,0.060808332,0.06060573,0.060357978,0.060065006,0.059726729,0.059343055,0.058913884,0.058439109,0.057918621,0.057352307,0.056740059,0.056081769,0.055377342,0.054626692,0.05382975,0.05298647,0.052096832,0.051160849,0.050178577,0.04915012,0.048075638,0.04695536,0.045789593,0.044578735,0.043323287,0.042023871,0.040681246,0.039296327,0.037870206,0.036404174,0.034899752,0.033358717,0.031783134,0.030175398,0.028538268,0.02687492,0.025188992,0.023484647,0.021766633,0.020040356,0.018311963,0.016588428,0.014877655,0.013188592,0.011531357,0.00991738,0.008359566,0.006872472,0.005472513,0.004178189,0.003010343,0.001992453,0.001150958,0.000515633,0.00012001,1.85E-06,0.000203701,0.000773483,0.001765221,0.003239824,0.005266005,0.007921321,0.011293368,0.015481147,0.020596648,0.026766655,0.034134845,0.042864212,0.053139873,0.065172332,0.079201289,0.095500082,0.11438089,0.136200856,0.161369297,0.190356225,0.223702465
0.062419864,0.062397038,0.062328555,0.062214392,0.062054514,0.061848871,0.061597402,0.061300032,0.060956677,0.060567242,0.060131625,0.059649716,0.059121404,0.058546573,0.057925111,0.05725691,0.056541867,0.055779896,0.054970922,0.054114896,0.053211794,0.052261625,0.051264441,0.050220341,0.049129481,0.047992086,0.046808458,0.04557899,0.044304181,0.042984648,0.041621145,0.040214584,0.038766052,0.037276838,0.03574846,0.03418269,0.032581593,0.030947559,0.029283347,0.027592131,0.025877549,0.024143762,0.022395518,0.020638226,0.018878032,0.017121913,0.015377776,0.013654572,0.011962423,0.010312766,0.00871851,0.007194221,0.005756321,0.004423318,0.003216067,0.002158057,0.001275741,0.000598908,0.000161107,1.22E-07,0.000158512,0.000684233,0.001631334,0.003060762,0.005041269,0.007650461,0.010975992,0.015116939,0.020185378,0.026308205,0.033629234,0.042311631,0.052540728,0.064527303,0.078511399,0.094766786,0.113606197,0.135387471,0.160520811,0.189477353,0.222799354
0.063626585,0.063603437,0.063533987,0.063418212,0.063256077,0.06304753,0.06279251,0.06249094,0.062142734,0.061747795,0.06130602,0.060817296,0.060281509,0.059698541,0.059068277,0.058390604,0.057665419,0.056892629,0.056072159,0.055203953,0.054287983,0.053324257,0.052312821,0.051253768,0.050147253,0.048993494,0.04779279,0.04654553,0.045252207,0.043913434,0.042529963,0.0411027,0.039632728,0.038121333,0.036570029,0.034980585,0.033355062,0.031695848,0.0300057,0.028287788,0.02654575,0.024783746,0.023006523,0.021219488,0.019428788,0.017641401,0.015865236,0.014109246,0.012383554,0.010699602,0.009070303,0.007510226,0.006035801,0.004665543,0.003420313,0.002323609,0.001401896,0.000684974,0.000206405,3.99E-06,0.000120303,0.000603325,0.001507131,0.002892695,0.004828809,0.007393122,0.010673345,0.014768621,0.019791112,0.025867817,0.033142686,0.041779048,0.051962447,0.063903927,0.077843866,0.094056461,0.112854983,0.134597961,0.159696465,0.18862274,0.221920448
0.064833866,0.064810398,0.06473999,0.064622617,0.064458244,0.064246818,0.063988277,0.063682542,0.063329527,0.062929131,0.06248125,0.061985768,0.061442569,0.060851533,0.06021254,0.059525476,0.058790233,0.058006715,0.057174842,0.056294556,0.055365825,0.054388651,0.053363076,0.052289191,0.051167144,0.049997149,0.048779501,0.047514585,0.046202888,0.04484502,0.043441727,0.041993911,0.040502652,0.03896923,0.037395155,0.035782194,0.034132403,0.032448168,0.030732241,0.028987791,0.027218452,0.025428381,0.023622326,0.021805691,0.019984624,0.018166101,0.01635803,0.014569366,0.012810234,0.011092076,0.009427809,0.007832005,0.006321097,0.004913605,0.003630397,0.002494976,0.001533815,0.000776725,0.000257278,1.33E-05,8.73E-05,0.00052745,0.001387698,0.002729094,0.004620463,0.007139497,0.010373959,0.01442306,0.019399042,0.025429012,0.03265705,0.041246653,0.051383577,0.063279133,0.077174042,0.093342933,0.112099627,0.13380335,0.158866059,0.187761128,0.221033652
0.066087703,0.066063907,0.065992512,0.065873495,0.065706819,0.065492431,0.065230266,0.064920246,0.06456228,0.06415627,0.063702104,0.063199668,0.062648841,0.062049501,0.061401524,0.060704794,0.059959197,0.059164636,0.058321026,0.057428304,0.056486435,0.055495415,0.054455284,0.053366125,0.052228084,0.051041369,0.04980627,0.048523167,0.047192543,0.045815002,0.044391286,0.042922291,0.041409092,0.039852966,0.038255417,0.036618208,0.034943391,0.033233346,0.031490824,0.029718988,0.02792147,0.026102424,0.024266595,0.022419384,0.020566937,0.018716229,0.016875168,0.015052706,0.01325897,0.0115054,0.009804915,0.008172089,0.006623357,0.005177241,0.003854613,0.002678982,0.001676825,0.000877961,0.000315972,2.87E-05,5.87E-05,0.000454029,0.0012688,0.00256404,0.004408605,0.006880232,0.010066734,0.014067389,0.018994526,0.024975358,0.032154101,0.040694428,0.050782316,0.062629358,0.076476632,0.092599224,0.111311536,0.132973529,0.157998098,0.186859808,0.220105267
0.067434638,0.067410492,0.067338048,0.067217281,0.067048155,0.066830615,0.066564595,0.066250015,0.065886783,0.065474798,0.065013946,0.06450411,0.063945167,0.06333699,0.062679454,0.061972436,0.061215822,0.060409508,0.059553406,0.058647448,0.057691595,0.056685837,0.055630209,0.054524791,0.05336972,0.052165203,0.050911521,0.04960905,0.048258267,0.04685977,0.045414296,0.043922735,0.042386158,0.040805834,0.039183264,0.037520202,0.035818699,0.034081128,0.032310234,0.030509178,0.028681586,0.026831607,0.024963983,0.023084112,0.021198136,0.019313027,0.01743669,0.015578075,0.013747307,0.011955825,0.010216548,0.008544047,0.006954759,0.005467207,0.004102264,0.002883442,0.001837223,0.000993429,0.000385649,5.17E-05,3.42E-05,0.000381277,0.001146938,0.002392288,0.004186218,0.006606505,0.009741017,0.013689102,0.018563177,0.024490571,0.031615646,0.040102263,0.050136636,0.061930667,0.075725822,0.091797685,0.110461289,0.1320774,0.157059937,0.185884764,0.219100147
0.068921761,0.068897233,0.068823642,0.068700964,0.068529161,0.068308177,0.068037945,0.067718383,0.067349398,0.066930883,0.066462726,0.065944805,0.065376992,0.064759159,0.064091176,0.063372916,0.062604261,0.061785102,0.060915346,0.059994921,0.05902378,0.058001911,0.056929342,0.055806145,0.054632455,0.053408469,0.052134464,0.050810809,0.049437974,0.048016552,0.046547271,0.045031017,0.043468852,0.04186204,0.040212075,0.038520705,0.036789973,0.035022247,0.033220266,0.031387183,0.02952662,0.027642721,0.02574022,0.023824512,0.021901732,0.019978848,0.01806376,0.016165415,0.014293933,0.012460751,0.010678782,0.008962597,0.007328629,0.0057954,0.004383783,0.003117289,0.002022401,0.001128944,0.000470512,8.49E-05,1.49E-05,0.000308327,0.001019478,0.002209401,0.003947019,0.006310154,0.00938673,0.01327617,0.018090987,0.023958634,0.031023635,0.039450058,0.049424385,0.061158856,0.074895375,0.090910081,0.109518714,0.131082945,0.156017842,0.18480073,0.217981733
0.070596749,0.070571796,0.070496928,0.070372123,0.070197339,0.069972521,0.0696976,0.069372491,0.068997099,0.068571316,0.068095024,0.067568099,0.066990411,0.066361825,0.065682209,0.06495143,0.064169365,0.0633359,0.062450936,0.061514395,0.060526226,0.059486409,0.058394964,0.05725196,0.056057521,0.054811839,0.053515183,0.052167914,0.050770497,0.049323513,0.047827686,0.046283891,0.044693184,0.043056821,0.041376286,0.039653321,0.037889959,0.036088562,0.034251859,0.032382997,0.030485589,0.028563771,0.02662227,0.024666473,0.022702507,0.020737335,0.018778848,0.016835987,0.014918865,0.013038912,0.011209036,0.009443801,0.007759636,0.006175057,0.004710933,0.003390771,0.002241053,0.001291603,0.000576015,0.000132131,2.59E-06,0.000235438,0.000884856,0.002011944,0.003685659,0.005983867,0.008994554,0.012817222,0.017564491,0.023363953,0.030360312,0.038717871,0.048623411,0.060289561,0.073958722,0.089907666,0.108452946,0.129957266,0.154837009,0.183571178,0.216712028
0.072507909,0.072482477,0.072406172,0.07227897,0.07210083,0.071871695,0.071591492,0.071260137,0.070877529,0.070443559,0.069958106,0.069421041,0.068832228,0.068191531,0.067498809,0.066753928,0.065956755,0.065107172,0.064205073,0.063250375,0.062243016,0.061182972,0.060070254,0.058904922,0.057687093,0.05641695,0.055094754,0.053720857,0.052295712,0.050819895,0.049294118,0.047719246,0.046096326,0.044426603,0.042711552,0.040952905,0.039152684,0.037313241,0.035437295,0.033527981,0.031588903,0.029624187,0.027638548,0.025637363,0.023626749,0.021613658,0.019605971,0.017612618,0.015643702,0.013710643,0.011826337,0.01000534,0.00826407,0.006621035,0.005097093,0.003715745,0.002503464,0.001490069,0.000709151,0.000198551,9.08E-07,0.000164281,0.000742859,0.001797766,0.003397991,0.005621448,0.008556185,0.012301794,0.016971012,0.022691587,0.029608427,0.037886101,0.047711738,0.059298411,0.072889095,0.088761297,0.107232511,0.128666638,0.153481592,0.182158323,0.215251564
0.074704212,0.074678237,0.074600305,0.07447039,0.07428845,0.074054426,0.073768244,0.073429815,0.073039038,0.072595798,0.07209997,0.071551422,0.070950012,0.070295598,0.069588035,0.068827179,0.068012894,0.067145053,0.066223544,0.065248272,0.064219172,0.063136206,0.061999379,0.060808742,0.0595644,0.058266527,0.056915373,0.055511278,0.054054687,0.052546162,0.050986403,0.049376266,0.047716782,0.046009187,0.044254941,0.042455763,0.040613664,0.038730981,0.03681042,0.034855103,0.032868618,0.030855079,0.028819186,0.026766301,0.024702529,0.022634803,0.020570992,0.018520009,0.016491942,0.014498195,0.01255165,0.010666846,0.008860185,0.007150159,0.005557612,0.004106029,0.00282187,0.001734942,0.000878824,0.000291352,1.52E-05,9.83E-05,0.000594996,0.001566366,0.003081438,0.005218172,0.008064687,0.011720668,0.016298984,0.021927558,0.028751532,0.036935779,0.046667829,0.058161271,0.071659747,0.08744162,0.105825483,0.12717664,0.151914793,0.180523173,0.213559419
0.077235289,0.0772087,0.077128924,0.076995935,0.07680969,0.076570126,0.076277169,0.075930727,0.075530693,0.075076949,0.074569365,0.074007803,0.073392118,0.072722158,0.071997773,0.071218811,0.070385129,0.06949659,0.068553073,0.067554476,0.066500721,0.065391761,0.06422759,0.063008247,0.061733826,0.060404488,0.059020471,0.057582101,0.05608981,0.054544146,0.052945794,0.051295596,0.049594568,0.047843929,0.046045124,0.044199857,0.04231012,0.040378233,0.038406886,0.036399183,0.034358693,0.03228951,0.030196316,0.028084455,0.025960008,0.02382989,0.021701948,0.019585074,0.017489333,0.015426107,0.013408254,0.01145029,0.009568592,0.007781629,0.006110221,0.004577829,0.00321089,0.00203919,0.001096288,0.000420004,5.30E-05,4.32E-05,0.000444954,0.001319349,0.002735443,0.004771242,0.007514936,0.011066313,0.015538386,0.021059277,0.027774393,0.035848958,0.045470962,0.056854597,0.07024428,0.085919378,0.104199766,0.125452396,0.150099072,0.178625705,0.21159335
0.08015137,0.080124087,0.080042228,0.079905766,0.079714655,0.079468833,0.079168221,0.078812722,0.078402227,0.077936613,0.077415744,0.076839475,0.076207653,0.075520122,0.074776721,0.073977292,0.073121679,0.072209737,0.071241335,0.070216358,0.069134717,0.067996354,0.066801248,0.065549424,0.064240963,0.062876011,0.06145479,0.059977612,0.058444889,0.056857155,0.055215076,0.053519475,0.05177135,0.049971901,0.048122552,0.046224986,0.044281175,0.042293416,0.040264377,0.038197137,0.036095242,0.033962763,0.031804354,0.029625332,0.027431752,0.025230502,0.023029397,0.0208373,0.018664246,0.016521583,0.014422138,0.012380391,0.010412687,0.008537458,0.006775487,0.005150203,0.003688004,0.002418645,0.001375652,0.000596815,0.000124732,7.44E-06,0.000299136,0.001060974,0.002362026,0.00428034,0.00690418,0.010333444,0.014681303,0.0200761,0.026663542,0.034609256,0.044101765,0.055355954,0.068617149,0.084165885,0.102323542,0.123459002,0.147996536,0.176425208,0.209310092
0.083503126,0.083475063,0.083390862,0.083250495,0.083053916,0.082801058,0.082491839,0.082126159,0.081703903,0.081224942,0.080689134,0.080096327,0.079446361,0.078739068,0.07797428,0.077151827,0.076271543,0.075333273,0.07433687,0.073282207,0.072169182,0.070997721,0.069767787,0.06847939,0.067132593,0.065727525,0.064264389,0.062743477,0.061165182,0.059530015,0.057838622,0.056091803,0.054290533,0.052435986,0.050529562,0.048572918,0.046567998,0.044517073,0.042422779,0.040288167,0.038116751,0.035912568,0.033680241,0.031425049,0.029153013,0.026870981,0.02458673,0.022309082,0.020048029,0.017814875,0.0156224,0.013485039,0.011419087,0.009442926,0.00757729,0.005845554,0.004274068,0.002892533,0.001734428,0.000837497,0.000244298,2.84E-06,0.000167281,0.000798784,0.001966425,0.003748291,0.006232714,0.009519708,0.013722616,0.018970023,0.025407976,0.033202561,0.04254291,0.053644714,0.066754346,0.082153705,0.100165928,0.121162152,0.145569541,0.173880854,0.206665885
0.087341399,0.087312463,0.087225648,0.087080922,0.086878236,0.086617522,0.086298692,0.085921642,0.085486252,0.084992385,0.084439891,0.083828612,0.083158376,0.082429006,0.081640323,0.080792145,0.079884292,0.078916595,0.077888894,0.076801045,0.075652929,0.074444454,0.073175567,0.071846256,0.070456564,0.069006599,0.067496541,0.065926659,0.064297321,0.062609013,0.060862355,0.059058117,0.057197246,0.055280886,0.053310407,0.05128743,0.049213868,0.047091953,0.044924287,0.04271388,0.040464208,0.038179264,0.035863627,0.033522532,0.03116195,0.028788679,0.026410446,0.024036015,0.021675323,0.019339615,0.017041608,0.014795674,0.012618041,0.010527022,0.008543282,0.006690123,0.004993823,0.003484011,0.002194098,0.001161757,0.000429488,4.52E-05,6.31E-05,0.000544309,0.00155783,0.003181812,0.005504652,0.00862648,0.012660819,0.017736524,0.024000017,0.031617902,0.040780006,0.051702944,0.0646343,0.079857549,0.097697868,0.118529022,0.142781548,0.170952523,0.203617261
0.091716776,0.091686876,0.091597163,0.091447608,0.091238157,0.090968739,0.090639261,0.090249615,0.089799671,0.089289287,0.088718305,0.088086553,0.087393852,0.086640012,0.085824839,0.084948139,0.084009718,0.083009388,0.081946971,0.080822308,0.079635258,0.078385708,0.077073583,0.075698849,0.074261525,0.072761691,0.071199501,0.069575195,0.067889114,0.06614171,0.064333571,0.062465434,0.06053821,0.058553005,0.05651115,0.054414227,0.052264103,0.050062968,0.047813376,0.04551829,0.043181131,0.04080584,0.03839694,0.035959607,0.033499749,0.031024099,0.028540316,0.026057093,0.023584291,0.021133077,0.018716088,0.016347608,0.014043777,0.011822818,0.009705299,0.007714426,0.005876379,0.004220689,0.002780666,0.001593891,0.000702771,0.000155175,5.16E-06,0.000313802,0.001150151,0.002592327,0.00472878,0.00765975,0.01149895,0.016375522,0.022436304,0.029848475,0.03880265,0.049516494,0.062238976,0.077255387,0.094893256,0.115529391,0.13959824,0.167601899,0.200122108
0.096679017,0.096648056,0.096555163,0.096400304,0.096183424,0.095904447,0.095563275,0.095159793,0.094693864,0.094165337,0.093574043,0.0929198,0.092202414,0.091421683,0.090577399,0.089669349,0.088697321,0.08766111,0.086560518,0.085395362,0.084165479,0.082870733,0.08151102,0.08008628,0.078596502,0.077041738,0.075422107,0.073737817,0.071989171,0.070176586,0.068300608,0.066361935,0.064361433,0.062300164,0.060179409,0.058000699,0.055765851,0.053476998,0.051136635,0.048747663,0.046313441,0.04383784,0.041325312,0.038780956,0.036210604,0.033620906,0.031019429,0.028414779,0.025816717,0.023236311,0.020686089,0.018180226,0.015734746,0.013367751,0.011099684,0.008953624,0.00695562,0.005135069,0.00352515,0.002163313,0.00109184,0.000358483,1.72E-05,0.000128973,0.000762809,0.001996805,0.003919446,0.006631073,0.010245588,0.014892434,0.020718898,0.027892799,0.036605627,0.047076232,0.059555158,0.074329763,0.091730274,0.112136992,0.135988875,0.163793814,0.196140986
