,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
251,0.059827094,0.05984922,0.05991565,0.060026532,0.060182118,0.060382757,0.060628904,0.060921117,0.06126006,0.061646507,0.062081341,0.062565563,0.063100289,0.063686762,0.064326347,0.065020546,0.065770996,0.06657948,0.067447929,0.068378436,0.069373257,0.070434823,0.071565751,0.072768849,0.074047133,0.075403832,0.076842408,0.078366562,0.079980255,0.081687717,0.083493472,0.085402347,0.087419497,0.089550426,0.091801002,0.09417749,0.09668657,0.099335365,0.102131472,0.105082992,0.108198559,0.111487379,0.114959262,0.118624667,0.122494737,0.126581349,0.130897157,0.135455641,0.140271164,0.145359021,0.150735503,0.156417957,0.162424848,0.168775831,0.175491824,0.182595076,0.190109255,0.198059524,0.206472626,0.215376978,0.224802759,0.234782008,0.24534872,0.256538949,0.268390911,0.280945089,0.294244342,0.308334012,0.323262035,0.339079049,0.355838505,0.373596769,0.392413235,0.41235042,0.433474066,0.455853227,0.47956036,0.504671399,0.531265822,0.559426707,0.589240781
252,0.061168283,0.061190775,0.0612583,0.06137101,0.061529157,0.061733095,0.061983283,0.062280282,0.062624764,0.063017507,0.063459405,0.063951464,0.064494812,0.0650907,0.065740506,0.066445741,0.067208057,0.068029249,0.068911264,0.069856208,0.070866353,0.071944147,0.073092223,0.074313408,0.075610733,0.076987449,0.078447034,0.07999321,0.081629955,0.08336152,0.085192446,0.087127581,0.089172098,0.091331517,0.093611724,0.096018998,0.098560033,0.101241966,0.104072403,0.107059451,0.110211748,0.1135385,0.117049515,0.120755242,0.124666809,0.128796072,0.133155655,0.137759004,0.142620433,0.147755181,0.15317947,0.158910562,0.164966827,0.171367805,0.178134278,0.185288343,0.19285349,0.200854679,0.209318424,0.218272878,0.227747927,0.237775275,0.248388545,0.259623372,0.271517508,0.284110917,0.297445884,0.311567113,0.326521838,0.342359923,0.359133967,0.376899407,0.395714615,0.415640995,0.436743075,0.459088596,0.482748583,0.507797427,0.534312938,0.5623764,0.59207261
253,0.062419864,0.062442693,0.062511231,0.062625629,0.062786143,0.06299313,0.06324705,0.063548471,0.063898069,0.06429663,0.064745051,0.065244349,0.065795659,0.066400241,0.067059483,0.067774907,0.068548177,0.069381098,0.07027563,0.071233894,0.072258176,0.073350937,0.074514826,0.075752685,0.077067562,0.078462724,0.079941665,0.081508125,0.083166097,0.084919852,0.086773945,0.088733242,0.09080293,0.092988545,0.095295988,0.09773155,0.100301938,0.103014297,0.105876241,0.108895883,0.112081863,0.115443386,0.118990253,0.122732902,0.12668245,0.130850728,0.135250333,0.139894675,0.144798022,0.14997556,0.155443443,0.161218856,0.167320076,0.173766535,0.180578891,0.187779097,0.195390478,0.203437805,0.211947378,0.220947109,0.23046661,0.24053728,0.251192397,0.262467213,0.274399052,0.287027405,0.300394027,0.314543045,0.329521048,0.345377198,0.362163317,0.379933994,0.398746675,0.418661753,0.439742658,0.462055935,0.485671321,0.510661806,0.537103695,0.565076653,0.594663737
254,0.063626585,0.063649736,0.063719241,0.063835253,0.063998028,0.064207925,0.064465411,0.064771056,0.06512554,0.065529655,0.065984306,0.066490516,0.067049427,0.067662308,0.068330557,0.069055706,0.069839428,0.07068354,0.071590016,0.072560985,0.073598749,0.074705783,0.075884747,0.077138501,0.078470106,0.079882843,0.081380224,0.082966001,0.084644187,0.086419064,0.088295205,0.090277488,0.092371118,0.094581641,0.096914974,0.099377417,0.101975687,0.104716937,0.107608789,0.110659358,0.113877284,0.117271771,0.120852612,0.124630236,0.128615741,0.132820937,0.137258394,0.141941482,0.146884428,0.152102362,0.157611375,0.163428574,0.169572146,0.17606142,0.182916932,0.190160498,0.197815282,0.205905875,0.214458373,0.223500456,0.233061476,0.243172539,0.253866598,0.265178539,0.277145281,0.289805863,0.303201545,0.317375903,0.332374921,0.348247093,0.365043515,0.382817975,0.401627047,0.421530177,0.442589762,0.464871227,0.488443099,0.513377061,0.539748009,0.567634093,0.597116746
255,0.064833866,0.064857336,0.0649278,0.065045411,0.065210427,0.065423211,0.065684231,0.065994062,0.06635339,0.06676301,0.067223835,0.067736894,0.068303338,0.068924442,0.069601615,0.070336397,0.071130471,0.071985667,0.072903968,0.073887517,0.074938627,0.076059786,0.07725367,0.078523149,0.079871301,0.081301421,0.082817034,0.084421909,0.086120071,0.087915819,0.089813739,0.091818724,0.09393599,0.096171099,0.098529976,0.101018934,0.103644697,0.106414427,0.109335748,0.112416779,0.11566616,0.119093089,0.122707354,0.126519368,0.130540213,0.134781677,0.139256298,0.14397741,0.148959193,0.154216722,0.159766022,0.165624124,0.171809124,0.178340245,0.185237904,0.192523776,0.200220868,0.208353591,0.216947837,0.226031058,0.235632346,0.245782519,0.256514207,0.267861938,0.279862229,0.292553678,0.305977056,0.320175398,0.335194096,0.35108099,0.367886463,0.385663522,0.404467891,0.424358089,0.445395507,0.467644481,0.491172357,0.516049549,0.542349584,0.570149141,0.599528076
256,0.066087703,0.066111502,0.066182953,0.066302209,0.066469532,0.066685286,0.066949942,0.06726408,0.067628391,0.068043675,0.068510851,0.069030955,0.069605145,0.070234707,0.070921055,0.071665741,0.072470459,0.073337048,0.074267503,0.075263979,0.076328802,0.077464473,0.07867368,0.079959308,0.081324449,0.082772412,0.084306737,0.085931207,0.087649861,0.089467013,0.091387264,0.093415518,0.095557006,0.097817301,0.100202338,0.102718441,0.105372341,0.108171207,0.111122667,0.11423484,0.117516364,0.120976432,0.124624823,0.128471935,0.13252883,0.136807271,0.141319763,0.146079601,0.151100915,0.156398722,0.161988979,0.167888633,0.174115688,0.180689257,0.18762963,0.194958339,0.202698227,0.210873521,0.2195099,0.228634582,0.238276394,0.248465856,0.259235267,0.270618789,0.282652529,0.295374634,0.308825375,0.323047238,0.33808501,0.353985869,0.370799472,0.388578036,0.40737642,0.427252205,0.448265766,0.470480335,0.49396207,0.518780099,0.54500657,0.572716681,0.6019887
257,0.067434638,0.067458787,0.067531287,0.067652294,0.06782207,0.068040983,0.068309508,0.068628228,0.068997838,0.069419147,0.069893077,0.070420673,0.071003101,0.071641653,0.072337756,0.073092971,0.073909,0.074787697,0.075731066,0.076741276,0.077820664,0.078971746,0.080197224,0.081499996,0.082883169,0.084350067,0.085904243,0.087549497,0.089289882,0.091129726,0.093073643,0.095126552,0.097293697,0.099580661,0.101993391,0.104538219,0.107221884,0.11005156,0.113034878,0.116179955,0.119495429,0.122990484,0.126674884,0.130559015,0.134653915,0.138971317,0.143523691,0.148324286,0.15338718,0.158727325,0.164360603,0.170303874,0.176575037,0.18319309,0.190178187,0.197551706,0.205336314,0.213556038,0.222236337,0.231404175,0.241088097,0.251318311,0.262126764,0.273547228,0.285615379,0.298368888,0.3118475,0.32609312,0.341149901,0.357064325,0.373885288,0.391664176,0.410454944,0.430314193,0.451301231,0.473478142,0.49690984,0.521664116,0.547811678,0.575426181,0.604584245
258,0.068921761,0.068946292,0.069019939,0.069142858,0.069315315,0.06953768,0.06981043,0.070134155,0.070509554,0.070937442,0.071418749,0.071954526,0.072545948,0.073194318,0.07390107,0.074667776,0.075496152,0.076388059,0.077345518,0.07837071,0.079465984,0.080633872,0.081877089,0.083198549,0.084601373,0.086088901,0.087664702,0.089332589,0.091096632,0.092961173,0.094930842,0.09701057,0.099205613,0.101521568,0.10396439,0.106540422,0.109256408,0.112119526,0.115137408,0.118318172,0.121670448,0.12520341,0.128926809,0.13285101,0.136987025,0.141346552,0.145942021,0.15078663,0.155894396,0.1612802,0.166959838,0.172950074,0.179268694,0.185934563,0.192967686,0.200389273,0.208221797,0.216489069,0.225216301,0.234430183,0.244158954,0.254432478,0.265282321,0.276741832,0.288846222,0.301632642,0.315140268,0.329410382,0.34448645,0.360414204,0.377241719,0.395019489,0.413800499,0.433640294,0.454597042,0.476731593,0.500107532,0.524791219,0.550851824,0.578361356,0.607394674
259,0.070596749,0.070621705,0.070696629,0.070821678,0.070997119,0.071223325,0.07150078,0.071830076,0.072211918,0.072647128,0.073136643,0.073681524,0.074282953,0.074942244,0.07566084,0.076440327,0.077282431,0.078189027,0.079162148,0.08020399,0.081316918,0.082503476,0.083766396,0.085108608,0.086533248,0.088043673,0.089643468,0.091336463,0.093126743,0.095018665,0.097016873,0.099126313,0.101352255,0.103700305,0.106176431,0.108786981,0.111538707,0.114438788,0.117494857,0.120715028,0.124107922,0.127682702,0.131449099,0.135417454,0.139598746,0.144004635,0.148647501,0.153540484,0.158697532,0.164133442,0.169863916,0.175905604,0.182276165,0.188994316,0.196079896,0.203553921,0.211438652,0.219757653,0.228535867,0.237799675,0.247576976,0.257897253,0.268791652,0.280293053,0.29243615,0.305257525,0.318795729,0.333091354,0.348187113,0.364127915,0.380960938,0.398735697,0.417504116,0.437320589,0.458242039,0.480327974,0.503640527,0.528244504,0.554207405,0.581599451,0.610493589
260,0.072507909,0.072533345,0.072609706,0.072737153,0.072915954,0.073146487,0.073429238,0.073764805,0.074153901,0.074597354,0.075096109,0.075651235,0.076263925,0.076935503,0.077667426,0.078461288,0.079318831,0.080241944,0.081232673,0.08229323,0.083425995,0.084633528,0.085918579,0.087284094,0.088733227,0.090269349,0.091896065,0.093617221,0.095436918,0.09735953,0.099389715,0.101532435,0.10379297,0.10617694,0.108690321,0.111339467,0.114131136,0.117072509,0.120171214,0.12343536,0.126873556,0.130494946,0.134309242,0.13832675,0.142558413,0.147015843,0.151711362,0.156658041,0.161869747,0.167361181,0.173147934,0.179246528,0.185674475,0.192450323,0.19959372,0.207125465,0.215067574,0.223443339,0.232277392,0.241595771,0.251425992,0.261797111,0.272739802,0.284286422,0.296471089,0.309329751,0.32290026,0.337222446,0.352338186,0.368291477,0.385128501,0.402897695,0.421649811,0.441437974,0.462317736,0.484347126,0.507586688,0.532099517,0.557951283,0.585210249,0.613947274
